JSON_Field_Path,Loop_Name,Segment_Name,Element_Number,Element_Description,Notes
enrollment_member.related_parties[].last_name_or_org,2000,NM1,3,Name Last or Organization Name,
enrollment_member.related_parties[].first_name,2000,NM1,4,Name First,
enrollment_member.related_parties[].dob,2000,DMG,2,Date Time Period,If DMG follows NM1
enrollment_member.health_coverage_elections[].maintenance_type_code,2300,HD,1,Maintenance Type Code,HD maintenance
enrollment_member.health_coverage_elections[].coverage_type_code,2300,HD,3,Insurance Line Code,HLT/DEN/VIS
enrollment_member.health_coverage_elections[].coverage_desc,2300,HD,3,Insurance Line Code,Decoded
enrollment_member.health_coverage_elections[].coverage_level_code,2300,HD,5,Coverage Level Code,IND/FAM
enrollment_member.health_coverage_elections[].coverage_start_dt,2300,DTP,3,Date Time Period,DTP*348
enrollment_member.health_coverage_elections[].coverage_end_dt,2300,DTP,3,Date Time Period,DTP*349
enrollment_member.health_coverage_elections[].references[].ref_value,2300,REF,2,Reference Identification,e.g. X9 policy ID
enrollment_member.health_coverage_elections[].cob_payer_responsible_cd,2320,COB,1,Payer Responsibility Sequence Number Code,
enrollment_member.health_coverage_elections[].cob_policy_number,2320,COB,2,Reference Identification,
enrollment_member.reporting_categories[].name,2700,N1,2,Name,LS/LE 2700 reporting
enrollment_member.reporting_categories[].references[].ref_value,2700,REF,2,Reference Identification,Category value
enrollment_member.reporting_categories[].dates[].dtp_date,2700,DTP,3,Date Time Period,Category date
